3462,juniorcity,14/02/2017,43,45,0,7
3463,juniorcity,21/02/2017,43,45,0,7
3464,city,24/01/2017,50,52,4,5
3465,city,25/01/2017,50,51,3,3
3466,city,25/01/2017,52,53,3,3
3467,tc432,25/01/2017,36,39,5,5
3478,city,31/01/2017,50,53,0,3
3492,city,30/01/2017,50,53,0,7
3479,city,01/02/2017,50,53,0,3
3541,city,02/02/2017,50,53,0,1
3485,ma616,01/02/2017,42,43,4,7
3484,sbb35,27/01/2017,12,15,0,0
3487,ma616,01/02/2017,50,53,4,7
3488,ma616,06/02/2017,52,55,0,7
3489,ma616,30/01/2017,44,47,0,3
3491,ma616,31/01/2017,6,9,0,3
3493,city,30/01/2017,54,57,0,1
3494,city,29/01/2017,44,47,0,1
3495,tmjv2,02/02/2017,6,9,0,7
3497,opbf2,01/02/2017,48,49,0,7
3499,opbf2,08/02/2017,46,49,0,7
3501,opbf2,15/02/2017,46,49,0,7
3502,city,31/01/2017,50,53,4,6
3504,atc33,01/02/2017,10,13,3,4
3505,opbf2,31/01/2017,44,51,8,12
3506,opbf2,07/02/2017,44,51,8,12
3507,opbf2,14/02/2017,44,51,8,12
3508,opbf2,21/02/2017,44,51,8,12
3509,opbf2,28/02/2017,44,51,8,12
3510,opbf2,07/03/2017,44,51,8,12
3511,opbf2,09/03/2017,44,51,8,12
3512,opbf2,02/03/2017,44,51,8,12
3513,opbf2,23/02/2017,44,51,8,12
3514,opbf2,16/02/2017,44,51,8,12
3515,opbf2,09/02/2017,44,51,8,12
3516,opbf2,02/02/2017,44,51,8,12
3518,hjm52,31/01/2017,58,61,8,8
3524,ak2021,04/02/2017,20,25,8,8
3525,ak2021,05/02/2017,20,25,8,8
3526,ak2021,11/02/2017,20,25,8,8
3527,ak2021,12/02/2017,20,25,8,8
3528,ak2021,18/02/2017,20,25,8,8
3529,ak2021,19/02/2017,20,25,8,8
3530,ak2021,25/02/2017,20,25,8,8
3531,ak2021,26/02/2017,20,25,8,8
3532,ak2021,05/03/2017,20,25,8,8
3535,ak2021,04/03/2017,20,25,8,8
3536,ak2021,07/02/2017,52,57,8,8
3537,ak2021,14/02/2017,52,57,8,8
3538,ak2021,21/02/2017,52,57,8,8
3539,ak2021,28/02/2017,52,57,8,8
3540,ak2021,07/03/2017,52,57,8,8
3542,aca35,02/02/2017,10,13,0,0
3544,sbb35,03/02/2017,14,17,0,2
3549,city,06/02/2017,46,49,0,0
3546,city,07/02/2017,50,53,0,3
3564,city,08/02/2017,50,53,0,3
3565,sg703,08/02/2017,44,45,0,0
3550,city,06/02/2017,50,51,0,2
3551,ma616,08/02/2017,50,53,4,7
3552,ma616,08/02/2017,42,45,4,7
3559,ma616,12/02/2017,32,35,0,7
3554,tmjv2,06/02/2017,6,9,0,5
3555,tmjv2,13/02/2017,6,9,0,6
3556,ma616,05/02/2017,34,37,0,7
3557,opbf2,10/02/2017,52,55,0,7
3562,sf467,06/02/2017,42,47,8,9
3563,md700,06/02/2017,62,71,8,9
3566,md700,08/02/2017,56,71,8,9
3567,city,09/02/2017,50,53,0,7
3568,aca35,09/02/2017,40,43,8,8
3569,aca35,09/02/2017,36,39,8,8
3570,md700,09/02/2017,38,43,9,10
3573,rb500,12/02/2017,28,31,0,7
3610,city,17/02/2017,50,52,0,5
3578,city,13/02/2017,46,49,0,1
3582,city,15/02/2017,50,53,0,3
3580,city,16/02/2017,46,49,0,1
3581,city,16/02/2017,50,53,0,7
3587,opbf2,12/02/2017,50,55,0,7
3588,ma616,13/02/2017,52,55,0,7
3589,ma616,15/02/2017,50,53,4,7
3598,opbf2,22/02/2017,46,50,0,7
3591,ma616,18/02/2017,34,37,0,7
3593,rc653,14/02/2017,8,11,0,1
3594,city,14/02/2017,50,53,0,2
3595,city,14/02/2017,54,57,0,1
3597,ma616,15/02/2017,42,45,2,7
3618,opbf2,18/02/2017,48,51,0,7
3624,ma616,20/02/2017,48,51,2,7
3602,ma616,22/02/2017,42,45,0,3
3603,ma616,22/02/2017,51,54,0,3
3605,ma616,25/02/2017,34,37,0,7
3626,ma616,20/02/2017,52,53,2,7
3625,ma616,20/02/2017,50,53,0,1
3611,city,20/02/2017,46,49,0,1
3612,city,21/02/2017,50,53,0,3
3645,city,22/02/2017,54,57,4,5
3614,city,23/02/2017,50,53,0,5
3615,city,23/02/2017,46,49,0,1
3616,sbb33,18/02/2017,20,23,0,2
3617,md700,17/02/2017,44,53,8,9
